request_text,expected_task,actual_primary_task,detected_task_types,parsed_slots,error_reason
课堂演示里又遇到 IndexError，我该怎么给学生讲更顺？,dispatch,technical_qa,"[""technical_qa""]","{""task_type"": ""technical_qa"", ""detected_task_types"": [""technical_qa""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": ""IndexError"", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
给 陈同学 下发一个围绕 函数定义 的补练包，时长别太长，课堂前能做完最好。,intervention,dispatch,"[""dispatch""]","{""task_type"": ""dispatch"", ""detected_task_types"": [""dispatch""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""函数""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""陈同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
老师端演示 键盘事件 时总有人追问为什么会报 IndexError。,diagnosis,technical_qa,"[""technical_qa""]","{""task_type"": ""technical_qa"", ""detected_task_types"": [""technical_qa""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": ""IndexError"", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
课堂演示里又遇到 AttributeError，我该怎么给学生讲更顺？,technical_qa,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
刘同学 课堂互动没问题，但作业里一直卡在 作品提交，先帮我做个学情判断。,technical_qa,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""刘同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
陈同学 这周在 随机数 和 课程导入 上比较不稳，能给我一个个性化干预方案吗？,technical_qa,intervention,"[""intervention""]","{""task_type"": ""intervention"", ""detected_task_types"": [""intervention""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""陈同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
杨同学 最近提交里老是报 AttributeError，想看下背后更像哪个知识点没掌握。,intervention,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""杨同学"", ""request_context_flags"": {""recent_submissions"": true, ""stepwise_plan"": false}}",task_mismatch
胡同学 现在更需要补概念还是补练习？能顺带给出干预目标和动作吗？,technical_qa,intervention,"[""intervention"", ""dispatch""]","{""task_type"": ""mixed"", ""detected_task_types"": [""intervention"", ""dispatch""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""胡同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
列表操作 这个点学生总混淆，想找一个更好讲的课堂说法。,dispatch,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""列表""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
课堂演示里又遇到 event loop写在while外，我该怎么给学生讲更顺？,intervention,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
郭同学 现在更需要补概念还是补练习？能顺带给出干预目标和动作吗？,technical_qa,intervention,"[""intervention"", ""dispatch""]","{""task_type"": ""mixed"", ""detected_task_types"": [""intervention"", ""dispatch""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""郭同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
课堂演示里又遇到 NameError，我该怎么给学生讲更顺？,dispatch,technical_qa,"[""technical_qa""]","{""task_type"": ""technical_qa"", ""detected_task_types"": [""technical_qa""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""变量"", ""命名规范"", ""报错排查""], ""desired_days"": 0, ""error_type"": ""NameError"", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
张同学 现在更需要补概念还是补练习？能顺带给出干预目标和动作吗？,technical_qa,intervention,"[""intervention"", ""dispatch""]","{""task_type"": ""mixed"", ""detected_task_types"": [""intervention"", ""dispatch""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""张同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
老师端演示 字符串处理 时总有人追问为什么会报 ZeroDivisionError。,dispatch,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""字符串""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
编码与UTF-8 这个点学生总混淆，想找一个更好讲的课堂说法。,dispatch,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
张同学 这周在 range函数 和 字符串处理 上比较不稳，能给我一个个性化干预方案吗？,diagnosis,intervention,"[""intervention""]","{""task_type"": ""intervention"", ""detected_task_types"": [""intervention""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""函数"", ""字符串""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""张同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
课件投屏 这个点学生总混淆，想找一个更好讲的课堂说法。,technical_qa,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
罗同学 课堂互动没问题，但作业里一直卡在 字典操作，先帮我做个学情判断。,intervention,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""字典""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""罗同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
杨同学 课堂互动没问题，但作业里一直卡在 函数定义，先帮我做个学情判断。,technical_qa,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""函数""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""杨同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
李同学 最近提交里老是报 ZeroDivisionError，想看下背后更像哪个知识点没掌握。,intervention,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""李同学"", ""request_context_flags"": {""recent_submissions"": true, ""stepwise_plan"": false}}",task_mismatch
老师端演示 路径处理 时总有人追问为什么会报 IndentationError。,technical_qa,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
老师端演示 列表 时总有人追问为什么会报 ZeroDivisionError。,dispatch,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""列表""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
作品提交 这个点学生总混淆，想找一个更好讲的课堂说法。,diagnosis,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
班里这几个学生在 课程设计 上都不稳，先推荐一个基础练习包给我。,diagnosis,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
我想给 张同学 派发练习，再提醒家长关注，能一起生成执行建议吗？,diagnosis,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""张同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
课堂演示里又遇到 资源找不到，我该怎么给学生讲更顺？,diagnosis,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
张同学 现在更需要补概念还是补练习？能顺带给出干预目标和动作吗？,technical_qa,intervention,"[""intervention"", ""dispatch""]","{""task_type"": ""mixed"", ""detected_task_types"": [""intervention"", ""dispatch""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""张同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
坐标系 这个点学生总混淆，想找一个更好讲的课堂说法。,technical_qa,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
杨同学 这周在 报错排查 和 参数传递 上比较不稳，能给我一个个性化干预方案吗？,intervention,technical_qa,"[""technical_qa"", ""intervention""]","{""task_type"": ""mixed"", ""detected_task_types"": [""technical_qa"", ""intervention""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""报错排查""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""杨同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
